"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4";"DIP-14_W7.62mm_Socket";1;"74LS05";;;
2;"C3";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"10nF";;;
3;"U1";"DIP-14_W7.62mm_Socket";1;"74LS74";;;
4;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10K";;;
5;"SW1";"NIKI2-Button";1;"FREEZE";;;
6;"Q1";"TO-92_Wide";1;"BC237";;;
7;"R1,R2,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"2.2K";;;
8;"C4,C1";"C_Disc_D4.3mm_W1.9mm_P5.00mm";2;"100nF";;;
9;"D4,D2,D1,D6,D7,D3,D5";"D_DO-35_SOD27_P10.16mm_Horizontal";7;"1N4148";;;
10;"U2";"DIP-16_W7.62mm_Socket";1;"74LS163";;;
11;"C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"1nF";;;
12;"JP1,JP2";"BottomSolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm_NumberLabels";2;"1-2 = 27C - 2-3 = 28C";;;
13;"U3";"DIP-14_W7.62mm_Socket";1;"74LS125";;;
14;"U6";"DIP-28_W15.24mm";1;"27C256";;;
15;"J1";"C64-Cart-NoSilkS";1;"C64-EXP";;;
16;"U5";"DIP-16_W7.62mm_Socket";1;"74LS174";;;
17;"SW2";"NIKI2-Button";1;"RESET";;;
